epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.19711270928382874,0.0005000000237487257,2.6662847995758057,0.09756097197532654,2.6068177223205566
1,0.2809550166130066,0.0005000000237487257,2.1696674823760986,0.08203991502523422,2.7797210216522217
2,0.32259854674339294,0.0005000000237487257,2.018510341644287,0.07760532200336456,3.18235445022583
3,0.3342587351799011,0.0005000000237487257,1.968701720237732,0.18847006559371948,2.847177505493164
4,0.35924485325813293,0.0002500000118743628,1.825364589691162,0.25942349433898926,2.395076036453247
5,0.40588560700416565,0.0002500000118743628,1.7484649419784546,0.34589800238609314,2.0313947200775146
6,0.41143807768821716,0.0002500000118743628,1.7021878957748413,0.4035476744174957,1.7966402769088745
7,0.42420876026153564,0.0002500000118743628,1.6803451776504517,0.4656319320201874,1.6277786493301392
8,0.4280954897403717,0.0002500000118743628,1.6407822370529175,0.4611973464488983,1.5984441041946411
9,0.45252636075019836,0.0002500000118743628,1.5900630950927734,0.521064281463623,1.5288816690444946
10,0.47196000814437866,0.0002500000118743628,1.5394867658615112,0.5299334526062012,1.5052516460418701
11,0.47529149055480957,0.0002500000118743628,1.5104951858520508,0.5321508049964905,1.4604272842407227
12,0.495280385017395,0.0002500000118743628,1.471375584602356,0.5476718544960022,1.4561113119125366
13,0.5052748322486877,0.0002500000118743628,1.4347525835037231,0.534368097782135,1.4530603885650635
14,0.5274847149848938,0.0002500000118743628,1.388138771057129,0.5254988670349121,1.4901670217514038
15,0.5330371856689453,0.0002500000118743628,1.3737094402313232,0.5388026833534241,1.4084280729293823
16,0.546363115310669,0.0002500000118743628,1.3274472951889038,0.5565410256385803,1.395783543586731
17,0.5607995390892029,0.0002500000118743628,1.280366063117981,0.5742793679237366,1.3435478210449219
18,0.5730149745941162,0.0002500000118743628,1.2277143001556396,0.5587583184242249,1.3614989519119263
19,0.5885618925094604,0.0002500000118743628,1.2056734561920166,0.5831485390663147,1.2935726642608643
20,0.589117169380188,0.0002500000118743628,1.1865612268447876,0.5920177102088928,1.2793265581130981
21,0.5985563397407532,0.0002500000118743628,1.1584514379501343,0.5875831246376038,1.2992491722106934
22,0.605219304561615,0.0002500000118743628,1.1425831317901611,0.5920177102088928,1.2617040872573853
23,0.6096612811088562,0.0002500000118743628,1.105202078819275,0.618625283241272,1.2108393907546997
24,0.6424208879470825,0.0002500000118743628,1.0828591585159302,0.618625283241272,1.2373234033584595
25,0.6263186931610107,0.0002500000118743628,1.0697529315948486,0.5898004174232483,1.3517028093338013
26,0.6451970934867859,0.0002500000118743628,1.0480213165283203,0.5986696481704712,1.2409788370132446
27,0.6618545055389404,0.0001250000059371814,0.9701489210128784,0.618625283241272,1.2099436521530151
28,0.6796224117279053,0.0001250000059371814,0.9315828680992126,0.6385809183120728,1.1904064416885376
29,0.6951693296432495,0.0001250000059371814,0.9133185148239136,0.6274944543838501,1.2200661897659302
